author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306666399/,Москва,sale,flat,7,21,4,126.3,-1,0,57000000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/296106332/,Москва,sale,flat,4,8,3,69.8,-1,0,63650200.0,Хамовники,Смоленский бульвар,22/14,Смоленская,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298466120/,Москва,sale,flat,12,12,3,81.2,-1,0,65900000.0,Сокол, Врубеля,4к1,Сокол,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306453364/,Москва,sale,flat,17,30,4,154.0,-1,0,67000000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304965475/,Москва,sale,flat,22,22,3,106.0,-1,0,68900000.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291597053/,Москва,sale,flat,5,6,3,78.1,-1,0,69690000.0,Тверской,1-я Тверская-Ямская ,18,Маяковская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306210139/,Москва,sale,flat,3,7,2,66.1,-1,0,72000000.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291590051/,Москва,sale,flat,3,11,3,110.4,-1,0,99000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/272828990/,Москва,sale,flat,6,17,1,38.0,-1,0,9500000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/302749139/,Москва,sale,flat,2,5,1,20.0,-1,0,9900000.0,Пресненский,Мантулинская ,12,Улица 1905 года,
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/307275502/,Москва,sale,flat,2,12,1,41.0,-1,0,11900000.0,Соколиная гора,Вольная ,4,Семёновская,
Антон Белов,realtor,https://www.cian.ru/sale/flat/297215041/,Москва,sale,flat,13,14,1,38.7,-1,0,17700000.0,Таганский,переулок Ковров,1,Москва-Товарная,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/307566350/,Москва,sale,flat,2,16,3,74.0,-1,0,17800000.0,Орехово-Борисово Северное,Каширское шоссе,90к1,Домодедовская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Москва,sale,flat,3,5,1,31.0,-1,0,18500000.0,Пресненский, Юлиуса Фучика,2/30,Маяковская,
ID 58831113,homeowner,https://www.cian.ru/sale/flat/303119261/,Москва,sale,flat,11,12,3,65.5,-1,0,22900000.0,Басманный,Бакунинская ,43/55,Бауманская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303346495/,Москва,sale,flat,6,28,2,53.0,-1,0,28500000.0,Филевский парк, Василисы Кожиной,13,Багратионовская,Квартал апартаментов Match Point
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/296561070/,Москва,sale,flat,1,5,4,76.1,-1,0,31000000.0,Хамовники,Погодинская ,14/16,Спортивная,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307273161/,Москва,sale,flat,3,12,2,57.0,-1,0,32000000.0,Аэропорт,Ленинградский проспект,36с30,Петровский Парк,ВТБ Арена парк
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307084095/,Москва,sale,flat,21,25,3,62.2,-1,0,33400000.0,Можайский,Рябиновая ,3к1,Рабочий посёлок,КутузовGRAD I
ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/300347461/,Москва,sale,flat,15,17,4,115.0,-1,0,37000000.0,Тропарево-Никулино,Никулинская ,27,Озёрная,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307537074/,Москва,sale,flat,16,53,3,53.0,-1,0,37000000.0,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/304779483/,Москва,sale,flat,15,22,4,112.0,-1,0,38400000.0,Кунцево,Истринская ,8к3,Кунцевская,На Истринской
