author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/303629870/,Уфа,sale,flat,8,9,3,60.1,-1,0,5800000,Калининский,бульвар Тухвата Янаби,69,,
ПСК-6,developer,https://ufa.cian.ru/sale/flat/299143812/,Уфа,sale,flat,3,34,1,38.17,-1,0,6145370,Советский,лит1,лит1,,Космос ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294206417/,Уфа,sale,flat,7,9,2,33.5,-1,0,2600000,Орджоникидзевский,Вологодская ,27/1,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/305076380/,Уфа,sale,flat,7,27,3,78.21,-1,0,13167748,Кировский,Зеленая Роща жилрайон,,,Терле Парк ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/296026812/,Уфа,sale,flat,3,9,2,58.8,-1,0,4300000,Дёмский,Грозненская ,71/3,,
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/303018383/,Уфа,sale,flat,16,32,3,74.02,-1,0,12517596,Октябрьский,Глумилино-1 мкр,,,Тау Хаус ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/281595829/,Уфа,sale,flat,5,5,1,31.6,-1,0,3900000,Советский, Ленина,104,,
СтроиТЭК,developer,https://ufa.cian.ru/sale/flat/306613220/,Уфа,sale,flat,23,24,3,47.62,-1,0,7857300,Кировский, Бородинская,19/1,,SVOBODA
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/298473263/,Уфа,sale,flat,6,11,1,39.1,-1,0,3500000,Дёмский,Грозненская ,69/7,,
Жилой Квартал,developer,https://ufa.cian.ru/sale/flat/300340032/,Уфа,sale,flat,15,20,2,50.51,-1,0,9729818,Советский,Комсомольская ,8,,Сапфир
ПСК-6,developer,https://ufa.cian.ru/sale/flat/305625488/,Уфа,sale,flat,2,27,2,42.7,-1,0,5081300,Калининский,Инорс-4Б мкр,,,Акварель ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/300261935/,Уфа,sale,flat,1,5,2,42.5,-1,0,4280000,Советский, Рихарда Зорге,38/3,,
Жилой Квартал,developer,https://ufa.cian.ru/sale/flat/305628337/,Уфа,sale,flat,12,24,1,36.39,-1,0,7375475,Советский,Комсомольская ,8,,Сапфир
Первый Трест,developer,https://ufa.cian.ru/sale/flat/305048074/,Уфа,sale,flat,7,20,2,43.34,-1,0,8500000,Кировский,Коммунистическая ,98/3,,Уфимский Кремль
Первый Трест,developer,https://ufa.cian.ru/sale/flat/306971326/,Уфа,sale,flat,10,32,3,57.9,-1,0,8945600,Октябрьский,Сипайлово жилрайон,,,ATLANTIS
ПСК-6,developer,https://ufa.cian.ru/sale/flat/294081490/,Уфа,sale,flat,26,27,1,22.15,-1,0,3056700,Калининский, Валерия Лесунова,18,,Акварель
ID 13816870,homeowner,https://ufa.cian.ru/sale/flat/220647490/,Уфа,sale,flat,7,15,3,90.0,-1,0,11350000,Советский, Ленина,99,,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/306834749/,Уфа,sale,flat,3,32,3,48.32,-1,0,7272200,Октябрьский,Глумилино-1 мкр,,,8 NEBO
Ирина Артемьева,realtor,https://ufa.cian.ru/sale/flat/298652289/,Уфа,sale,flat,2,5,3,66.14,-1,0,6690000,Кировский, Академика Курчатова,,,Вишня
Первый Трест,developer,https://ufa.cian.ru/sale/flat/296312363/,Уфа,sale,flat,11,22,3,63.1,-1,0,9588000,Октябрьский,Глумилино-1 мкр,,,Новатор ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/287274759/,Уфа,sale,flat,8,9,4,154.1,-1,0,12349000,Октябрьский,Российская ,98/1,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/296598235/,Уфа,sale,flat,3,15,2,66.0,-1,0,7280000,Октябрьский,Комсомольская ,24,,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/305048072/,Уфа,sale,flat,7,20,1,26.98,-1,0,6300000,Кировский,Коммунистическая ,98/3,,Уфимский Кремль
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/289092514/,Уфа,sale,flat,14,16,3,117.0,-1,0,12490000,Советский,Бакалинская ,68/6,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/296807073/,Уфа,sale,flat,1,9,2,53.4,-1,0,4790000,Кировский, Степана Кувыкина,6/1,,
Третий Трест,developer,https://ufa.cian.ru/sale/flat/281149078/,Уфа,sale,flat,2,26,2,68.87,-1,0,8784369,Советский,Революционная ,98/4,,Edison
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/286660416/,Уфа,sale,flat,2,2,4,137.0,-1,0,10190000,Октябрьский,Комсомольская ,141/1,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294712283/,Уфа,sale,flat,2,16,2,48.9,-1,0,7400000,Советский, Пархоменко,156Б,,Видинеевский
ПСК-6,developer,https://ufa.cian.ru/sale/flat/280246183/,Уфа,sale,flat,9,16,2,47.28,-1,0,7564800,Ленинский, Аксакова,81,,Аксаковский
ALBI недвижимость,real_estate_agent,https://ufa.cian.ru/sale/flat/304298714/,Уфа,sale,flat,5,25,3,73.84,-1,0,12749000,Советский, Пархоменко,123,,
СтроиТЭК,developer,https://ufa.cian.ru/sale/flat/305285335/,Уфа,sale,flat,8,24,3,74.7,-1,0,12534660,Октябрьский,,,,Аурум ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/282809387/,Уфа,sale,flat,2,9,4,163.0,-1,0,14500000,Советский, Достоевского,139/1,,
